,交易日期,bob,eob,bond_code,转债_1m_收盘价,转债_1m_成交额,转债_1m_成交均价,转债_1m_成交量,stk_code,正股_1m_收盘价,正股_1m_成交额,正股_1m_成交均价,正股_1m_成交量,转股价格,溢价率
0,2025-07-04,2025-07-04 09:30:00+08:00,2025-07-04 09:31:00+08:00,123257,130.0,14139450.0,130.0,108765,300866,115.65,12424321.0,116.55085365853658,106600.0,111.94,24.86
1,2025-07-04,2025-07-04 14:57:00+08:00,2025-07-04 14:58:00+08:00,123257,136.51,74802292.62,136.51000000000002,547962,nan,115.15,,,0.0,111.94,
2,2025-07-04,2025-07-04 14:59:00+08:00,2025-07-04 15:00:00+08:00,123257,136.51,41538354.88,136.51000000000002,304288,300866,115.15,3622619.0,115.15,31460.0,111.94,32.7
3,2025-07-07,2025-07-07 09:30:00+08:00,2025-07-07 09:31:00+08:00,123257,135.692,32463532.194,135.94899407852859,238792,300866,114.33,4735977.0,114.67256658595642,41300.0,111.94,32.71
4,2025-07-07,2025-07-07 09:31:00+08:00,2025-07-07 09:32:00+08:00,123257,135.53,19427389.58,135.3806189460774,143502,300866,113.52,9140692.0,113.8317808219178,80300.0,111.94,33.13
5,2025-07-07,2025-07-07 09:32:00+08:00,2025-07-07 09:33:00+08:00,123257,135.382,17157100.166,135.44508783314387,126672,300866,112.88,5693717.0,113.1951689860835,50300.0,111.94,33.94
6,2025-07-07,2025-07-07 09:33:00+08:00,2025-07-07 09:34:00+08:00,123257,135.3,10879165.244000005,135.44777445219128,80320,300866,112.7,5749551.0,112.51567514677103,51100.0,111.94,34.75
7,2025-07-07,2025-07-07 09:34:00+08:00,2025-07-07 09:35:00+08:00,123257,135.599,28041296.144,135.10361710205538,207554,300866,113.27,3001803.0,113.27558490566038,26500.0,111.94,33.51
8,2025-07-07,2025-07-07 09:35:00+08:00,2025-07-07 09:36:00+08:00,123257,135.665,6855794.954000011,135.50073037394282,50596,300866,113.24,2105510.0,113.1994623655914,18600.0,111.94,33.99
9,2025-07-07,2025-07-07 09:36:00+08:00,2025-07-07 09:37:00+08:00,123257,135.939,10522523.824,135.8200663964685,77474,300866,114.41,3677763.899999999,113.47620796050599,32410.0,111.94,33.98
10,2025-07-07,2025-07-07 09:37:00+08:00,2025-07-07 09:38:00+08:00,123257,136.68,18359837.73299998,136.2652723325613,134736,300866,114.86,3528251.0,114.5536038961039,30800.0,111.94,33.16
11,2025-07-07,2025-07-07 09:38:00+08:00,2025-07-07 09:39:00+08:00,123257,136.637,11545950.76000002,136.76309489120288,84423,300866,115.3,4809077.0,115.0496889952153,41800.0,111.94,33.07
12,2025-07-07,2025-07-07 09:39:00+08:00,2025-07-07 09:40:00+08:00,123257,136.1,13296779.97299999,135.90608938244844,97838,300866,115.1,37367868.00000001,115.06656812933028,324750.0,111.94,32.21
13,2025-07-07,2025-07-07 09:40:00+08:00,2025-07-07 09:41:00+08:00,123257,136.302,7494643.324000001,136.3654171033479,54960,300866,115.44,3089493.0,115.2795895522388,26800.0,111.94,32.41
14,2025-07-07,2025-07-07 09:41:00+08:00,2025-07-07 09:42:00+08:00,123257,135.7,8153021.023000002,136.1355344554092,59889,300866,115.02,1047488.0,115.10857142857142,9100.0,111.94,32.39
15,2025-07-07,2025-07-07 09:42:00+08:00,2025-07-07 09:43:00+08:00,123257,135.214,9588856.192999989,135.33642230282828,70852,300866,114.85,20191647.0,114.98660022779043,175600.0,111.94,31.75
16,2025-07-07,2025-07-07 09:43:00+08:00,2025-07-07 09:44:00+08:00,123257,135.525,6767409.781000018,135.3833953027791,49987,300866,115.01,3598705.9299999923,114.97463035143745,31300.0,111.94,31.81
17,2025-07-07,2025-07-07 09:44:00+08:00,2025-07-07 09:45:00+08:00,123257,135.5,3651293.6859999895,135.50410769687485,26946,300866,115.19,3495165.070000008,114.94606735291242,30407.0,111.94,31.96
18,2025-07-07,2025-07-07 09:45:00+08:00,2025-07-07 09:46:00+08:00,123257,135.321,2771610.2299999893,135.40525819531922,20469,300866,114.9,805049.0,115.007,7000.0,111.94,31.79
19,2025-07-07,2025-07-07 09:46:00+08:00,2025-07-07 09:47:00+08:00,123257,135.661,3843704.974000007,135.42755880487658,28382,300866,115.38,2534529.0,115.20586363636363,22000.0,111.94,31.59
20,2025-07-07,2025-07-07 09:47:00+08:00,2025-07-07 09:48:00+08:00,123257,135.706,2509916.701000005,135.74454845862655,18490,300866,115.35,1511191.0,115.35809160305344,13100.0,111.94,31.72
21,2025-07-07,2025-07-07 09:48:00+08:00,2025-07-07 09:49:00+08:00,123257,135.553,12176048.684000015,135.69349489591244,89732,300866,114.89,1414772.0,115.0221138211382,12300.0,111.94,32.06
22,2025-07-07,2025-07-07 09:49:00+08:00,2025-07-07 09:50:00+08:00,123257,136.071,6339998.129999995,135.95810023160053,46632,300866,115.18,1438739.0,115.09912,12500.0,111.94,32.23
23,2025-07-07,2025-07-07 09:50:00+08:00,2025-07-07 09:51:00+08:00,123257,136.002,2618970.8829999864,136.02923611904566,19253,300866,115.06,2369209.0,115.01014563106796,20600.0,111.94,32.4
24,2025-07-07,2025-07-07 09:51:00+08:00,2025-07-07 09:52:00+08:00,123257,135.981,3181507.4620000124,135.9618573504279,23400,300866,115.27,3976978.0,114.94156069364162,34600.0,111.94,32.41
25,2025-07-07,2025-07-07 09:52:00+08:00,2025-07-07 09:53:00+08:00,123257,136.06,2195083.7619999945,136.01113836049288,16139,300866,115.24,2731572.0,115.25620253164557,23700.0,111.94,32.1
26,2025-07-07,2025-07-07 09:53:00+08:00,2025-07-07 09:54:00+08:00,123257,136.633,7317478.986999989,136.3725630288119,53658,300866,115.45,1535417.0,115.44488721804511,13300.0,111.94,32.23
27,2025-07-07,2025-07-07 09:54:00+08:00,2025-07-07 09:55:00+08:00,123257,137.0,9206710.688000023,136.86612784682202,67268,300866,115.34,1372427.0,115.33,11900.0,111.94,32.84
28,2025-07-07,2025-07-07 09:55:00+08:00,2025-07-07 09:56:00+08:00,123257,136.966,3333822.52699998,136.86204388521614,24359,300866,115.1,1439169.0,115.13352,12500.0,111.94,33.07
29,2025-07-07,2025-07-07 09:56:00+08:00,2025-07-07 09:57:00+08:00,123257,136.968,7587081.724000007,137.03008459760161,55368,300866,115.29,771574.0,115.16029850746268,6700.0,111.94,33.2
30,2025-07-07,2025-07-07 09:57:00+08:00,2025-07-07 09:58:00+08:00,123257,137.202,3872510.5779999793,136.99273305504383,28268,300866,115.8,2425409.0,115.49566666666666,21000.0,111.94,32.78
31,2025-07-07,2025-07-07 09:58:00+08:00,2025-07-07 09:59:00+08:00,123257,137.479,9296270.89500004,137.42325446804796,67647,300866,115.42,1121117.0,115.57907216494846,9700.0,111.94,33.1
