,symbol,frequency,open,high,low,close,volume,amount,pre_close,position,bob,eob
0,SHSE.118051,60s,119.98,119.998,118.4,118.526,452500,54065747.0,0.0,0,2024-12-19 09:30:00+08:00,2024-12-19 09:31:00+08:00
1,SHSE.118051,60s,118.5,119.374,118.5,119.345,205070,24389530.0,0.0,0,2024-12-19 09:31:00+08:00,2024-12-19 09:32:00+08:00
2,SHSE.118051,60s,119.5,119.68,118.993,118.993,121060,14454957.0,0.0,0,2024-12-19 09:32:00+08:00,2024-12-19 09:33:00+08:00
3,SHSE.118051,60s,119.0,119.359,118.99,119.0,135430,16132200.0,0.0,0,2024-12-19 09:33:00+08:00,2024-12-19 09:34:00+08:00
4,SHSE.118051,60s,119.0,119.004,118.601,118.601,95350,11328827.0,0.0,0,2024-12-19 09:34:00+08:00,2024-12-19 09:35:00+08:00
5,SHSE.118051,60s,118.611,118.88,118.611,118.759,163160,19373815.0,0.0,0,2024-12-19 09:35:00+08:00,2024-12-19 09:36:00+08:00
6,SHSE.118051,60s,118.771,118.954,118.76,118.812,81900,9735506.0,0.0,0,2024-12-19 09:36:00+08:00,2024-12-19 09:37:00+08:00
7,SHSE.118051,60s,118.847,119.18,118.808,119.115,96000,11421061.0,0.0,0,2024-12-19 09:37:00+08:00,2024-12-19 09:38:00+08:00
8,SHSE.118051,60s,119.115,119.19,118.959,119.05,67480,8036880.0,0.0,0,2024-12-19 09:38:00+08:00,2024-12-19 09:39:00+08:00
9,SHSE.118051,60s,119.08,119.201,118.96,119.2,101240,12058709.0,0.0,0,2024-12-19 09:39:00+08:00,2024-12-19 09:40:00+08:00
10,SHSE.118051,60s,119.15,119.467,119.15,119.467,94580,11284821.0,0.0,0,2024-12-19 09:40:00+08:00,2024-12-19 09:41:00+08:00
11,SHSE.118051,60s,119.545,119.545,119.199,119.27,107300,12809548.0,0.0,0,2024-12-19 09:41:00+08:00,2024-12-19 09:42:00+08:00
12,SHSE.118051,60s,119.24,119.3,118.957,119.01,54820,6527855.0,0.0,0,2024-12-19 09:42:00+08:00,2024-12-19 09:43:00+08:00
13,SHSE.118051,60s,119.02,119.09,119.0,119.043,39960,4756736.0,0.0,0,2024-12-19 09:43:00+08:00,2024-12-19 09:44:00+08:00
14,SHSE.118051,60s,119.09,119.252,119.052,119.252,44650,5321605.0,0.0,0,2024-12-19 09:44:00+08:00,2024-12-19 09:45:00+08:00
15,SHSE.118051,60s,119.258,119.258,119.18,119.236,52390,6245613.0,0.0,0,2024-12-19 09:45:00+08:00,2024-12-19 09:46:00+08:00
16,SHSE.118051,60s,119.225,119.249,119.1,119.116,32180,3835376.0,0.0,0,2024-12-19 09:46:00+08:00,2024-12-19 09:47:00+08:00
17,SHSE.118051,60s,119.1,119.156,119.029,119.05,35450,4222103.0,0.0,0,2024-12-19 09:47:00+08:00,2024-12-19 09:48:00+08:00
18,SHSE.118051,60s,119.092,119.355,119.092,119.332,77860,9285534.0,0.0,0,2024-12-19 09:48:00+08:00,2024-12-19 09:49:00+08:00
19,SHSE.118051,60s,119.35,119.35,119.2,119.2,65160,7771353.0,0.0,0,2024-12-19 09:49:00+08:00,2024-12-19 09:50:00+08:00
20,SHSE.118051,60s,119.236,119.25,119.11,119.12,29210,3482013.0,0.0,0,2024-12-19 09:50:00+08:00,2024-12-19 09:51:00+08:00
21,SHSE.118051,60s,119.11,119.12,119.051,119.051,29090,3464416.0,0.0,0,2024-12-19 09:51:00+08:00,2024-12-19 09:52:00+08:00
22,SHSE.118051,60s,119.05,119.08,118.98,119.08,44720,5323193.0,0.0,0,2024-12-19 09:52:00+08:00,2024-12-19 09:53:00+08:00
23,SHSE.118051,60s,119.1,119.253,119.1,119.198,40510,4828795.0,0.0,0,2024-12-19 09:53:00+08:00,2024-12-19 09:54:00+08:00
24,SHSE.118051,60s,119.199,119.203,119.069,119.08,23350,2781838.0,0.0,0,2024-12-19 09:54:00+08:00,2024-12-19 09:55:00+08:00
25,SHSE.118051,60s,119.051,119.072,119.048,119.05,22320,2657389.0,0.0,0,2024-12-19 09:55:00+08:00,2024-12-19 09:56:00+08:00
26,SHSE.118051,60s,119.048,119.091,119.048,119.075,31920,3800776.0,0.0,0,2024-12-19 09:56:00+08:00,2024-12-19 09:57:00+08:00
27,SHSE.118051,60s,119.075,119.099,118.989,119.004,34950,4160558.0,0.0,0,2024-12-19 09:57:00+08:00,2024-12-19 09:58:00+08:00
28,SHSE.118051,60s,118.97,118.972,118.823,118.847,45940,5463373.0,0.0,0,2024-12-19 09:58:00+08:00,2024-12-19 09:59:00+08:00
29,SHSE.118051,60s,118.833,118.963,118.833,118.92,25600,3044138.0,0.0,0,2024-12-19 09:59:00+08:00,2024-12-19 10:00:00+08:00
30,SHSE.118051,60s,118.918,118.921,118.701,118.726,58080,6900226.0,0.0,0,2024-12-19 10:00:00+08:00,2024-12-19 10:01:00+08:00
31,SHSE.118051,60s,118.752,118.838,118.742,118.83,32380,3846515.0,0.0,0,2024-12-19 10:01:00+08:00,2024-12-19 10:02:00+08:00
32,SHSE.118051,60s,118.823,118.888,118.798,118.85,36830,4376947.0,0.0,0,2024-12-19 10:02:00+08:00,2024-12-19 10:03:00+08:00
33,SHSE.118051,60s,118.849,118.849,118.8,118.811,21200,2519235.0,0.0,0,2024-12-19 10:03:00+08:00,2024-12-19 10:04:00+08:00
34,SHSE.118051,60s,118.811,118.83,118.802,118.829,19370,2301599.0,0.0,0,2024-12-19 10:04:00+08:00,2024-12-19 10:05:00+08:00
35,SHSE.118051,60s,118.821,118.86,118.82,118.86,23470,2789166.0,0.0,0,2024-12-19 10:05:00+08:00,2024-12-19 10:06:00+08:00
36,SHSE.118051,60s,118.863,118.96,118.863,118.94,26020,3094050.0,0.0,0,2024-12-19 10:06:00+08:00,2024-12-19 10:07:00+08:00
37,SHSE.118051,60s,118.93,118.93,118.84,118.843,25180,2993931.0,0.0,0,2024-12-19 10:07:00+08:00,2024-12-19 10:08:00+08:00
38,SHSE.118051,60s,118.84,118.852,118.8,118.84,32090,3813373.0,0.0,0,2024-12-19 10:08:00+08:00,2024-12-19 10:09:00+08:00
39,SHSE.118051,60s,118.831,118.835,118.516,118.59,53790,6380721.0,0.0,0,2024-12-19 10:09:00+08:00,2024-12-19 10:10:00+08:00
40,SHSE.118051,60s,118.605,118.701,118.534,118.695,18810,2231184.0,0.0,0,2024-12-19 10:10:00+08:00,2024-12-19 10:11:00+08:00
41,SHSE.118051,60s,118.665,118.665,118.561,118.582,17710,2100847.0,0.0,0,2024-12-19 10:11:00+08:00,2024-12-19 10:12:00+08:00
42,SHSE.118051,60s,118.582,118.587,118.341,118.44,47760,5657819.0,0.0,0,2024-12-19 10:12:00+08:00,2024-12-19 10:13:00+08:00
43,SHSE.118051,60s,118.5,118.55,118.4,118.407,19280,2284115.0,0.0,0,2024-12-19 10:13:00+08:00,2024-12-19 10:14:00+08:00
44,SHSE.118051,60s,118.407,118.497,118.4,118.492,24320,2880327.0,0.0,0,2024-12-19 10:14:00+08:00,2024-12-19 10:15:00+08:00
45,SHSE.118051,60s,118.482,118.515,118.482,118.515,20090,2380683.0,0.0,0,2024-12-19 10:15:00+08:00,2024-12-19 10:16:00+08:00
46,SHSE.118051,60s,118.509,118.546,118.507,118.52,12870,1525400.0,0.0,0,2024-12-19 10:16:00+08:00,2024-12-19 10:17:00+08:00
47,SHSE.118051,60s,118.533,118.55,118.516,118.548,16190,1919193.0,0.0,0,2024-12-19 10:17:00+08:00,2024-12-19 10:18:00+08:00
48,SHSE.118051,60s,118.548,118.548,118.41,118.46,22750,2695667.0,0.0,0,2024-12-19 10:18:00+08:00,2024-12-19 10:19:00+08:00
49,SHSE.118051,60s,118.45,118.45,118.365,118.387,14270,1689537.0,0.0,0,2024-12-19 10:19:00+08:00,2024-12-19 10:20:00+08:00
50,SHSE.118051,60s,118.387,118.395,118.35,118.35,19670,2328633.0,0.0,0,2024-12-19 10:20:00+08:00,2024-12-19 10:21:00+08:00
51,SHSE.118051,60s,118.35,118.35,118.23,118.23,26930,3185584.0,0.0,0,2024-12-19 10:21:00+08:00,2024-12-19 10:22:00+08:00
52,SHSE.118051,60s,118.232,118.257,118.112,118.118,38490,4549942.0,0.0,0,2024-12-19 10:22:00+08:00,2024-12-19 10:23:00+08:00
53,SHSE.118051,60s,118.1,118.13,118.05,118.119,29830,3522778.0,0.0,0,2024-12-19 10:23:00+08:00,2024-12-19 10:24:00+08:00
54,SHSE.118051,60s,118.1,118.226,118.1,118.163,15730,1858883.0,0.0,0,2024-12-19 10:24:00+08:00,2024-12-19 10:25:00+08:00
55,SHSE.118051,60s,118.162,118.19,118.1,118.106,18990,2243546.0,0.0,0,2024-12-19 10:25:00+08:00,2024-12-19 10:26:00+08:00
56,SHSE.118051,60s,118.106,118.11,118.07,118.098,14540,1717141.0,0.0,0,2024-12-19 10:26:00+08:00,2024-12-19 10:27:00+08:00
57,SHSE.118051,60s,118.11,118.206,118.11,118.17,24570,2903097.0,0.0,0,2024-12-19 10:27:00+08:00,2024-12-19 10:28:00+08:00
58,SHSE.118051,60s,118.17,118.17,118.122,118.15,11160,1318530.0,0.0,0,2024-12-19 10:28:00+08:00,2024-12-19 10:29:00+08:00
59,SHSE.118051,60s,118.15,118.178,118.073,118.1,14850,1754364.0,0.0,0,2024-12-19 10:29:00+08:00,2024-12-19 10:30:00+08:00
60,SHSE.118051,60s,118.078,118.106,118.041,118.101,11910,1406499.0,0.0,0,2024-12-19 10:30:00+08:00,2024-12-19 10:31:00+08:00
61,SHSE.118051,60s,118.101,118.26,118.101,118.211,28130,3324474.0,0.0,0,2024-12-19 10:31:00+08:00,2024-12-19 10:32:00+08:00
62,SHSE.118051,60s,118.222,118.345,118.221,118.345,26240,3103680.0,0.0,0,2024-12-19 10:32:00+08:00,2024-12-19 10:33:00+08:00
63,SHSE.118051,60s,118.309,118.338,118.235,118.258,20530,2428601.0,0.0,0,2024-12-19 10:33:00+08:00,2024-12-19 10:34:00+08:00
64,SHSE.118051,60s,118.26,118.485,118.26,118.485,33740,3994679.0,0.0,0,2024-12-19 10:34:00+08:00,2024-12-19 10:35:00+08:00
65,SHSE.118051,60s,118.5,118.53,118.429,118.435,33080,3919316.0,0.0,0,2024-12-19 10:35:00+08:00,2024-12-19 10:36:00+08:00
66,SHSE.118051,60s,118.43,118.601,118.429,118.601,34320,4068455.0,0.0,0,2024-12-19 10:36:00+08:00,2024-12-19 10:37:00+08:00
67,SHSE.118051,60s,118.6,118.688,118.6,118.68,31700,3760940.0,0.0,0,2024-12-19 10:37:00+08:00,2024-12-19 10:38:00+08:00
68,SHSE.118051,60s,118.63,118.63,118.465,118.47,43550,5162283.0,0.0,0,2024-12-19 10:38:00+08:00,2024-12-19 10:39:00+08:00
69,SHSE.118051,60s,118.5,118.52,118.465,118.5,22860,2708786.0,0.0,0,2024-12-19 10:39:00+08:00,2024-12-19 10:40:00+08:00
70,SHSE.118051,60s,118.502,118.625,118.502,118.551,12830,1521130.0,0.0,0,2024-12-19 10:40:00+08:00,2024-12-19 10:41:00+08:00
71,SHSE.118051,60s,118.552,118.589,118.552,118.589,11250,1334050.0,0.0,0,2024-12-19 10:41:00+08:00,2024-12-19 10:42:00+08:00
72,SHSE.118051,60s,118.585,118.586,118.44,118.45,17760,2104326.0,0.0,0,2024-12-19 10:42:00+08:00,2024-12-19 10:43:00+08:00
73,SHSE.118051,60s,118.456,118.467,118.4,118.4,10390,1230583.0,0.0,0,2024-12-19 10:43:00+08:00,2024-12-19 10:44:00+08:00
74,SHSE.118051,60s,118.4,118.447,118.4,118.43,9300,1101326.0,0.0,0,2024-12-19 10:44:00+08:00,2024-12-19 10:45:00+08:00
75,SHSE.118051,60s,118.43,118.445,118.38,118.401,15920,1885246.0,0.0,0,2024-12-19 10:45:00+08:00,2024-12-19 10:46:00+08:00
